name,iata_code,iso_region,type
Hudsons Hope Airport,YNH,CA-BC,small_airport
Langley Airport,YLY,CA-BC,small_airport
Points North Landing Airport,YNL,CA-SK,medium_airport
Matagami Airport,YNM,CA-QC,medium_airport
Fort Mackay / Horizon Airport,HZP,CA-AB,small_airport
Ekati Airport,YOA,CA-NT,medium_airport
Old Crow Airport,YOC,CA-YT,medium_airport
CFB Cold Lake,YOD,CA-AB,medium_airport
Oxford House Airport,YOH,CA-MB,medium_airport
High Level Airport,YOJ,CA-AB,medium_airport
Toronto/Oshawa Executive Airport,YOO,CA-ON,medium_airport
Rainbow Lake Airport,YOP,CA-AB,medium_airport
Owen Sound / Billy Bishop Regional Airport,YOS,CA-ON,medium_airport
Ottawa Macdonald-Cartier International Airport,YOW,CA-ON,large_airport
C J.H.L.(Joe) Lecomte) Heliport,YOY,CA-QC,heliport
Prince Albert Glass Field,YPA,CA-SK,medium_airport
Paulatuk (Nora Aliqatchialuk Ruben) Airport,YPC,CA-NT,medium_airport
Port Hawkesbury Airport,YPS,CA-NS,medium_airport
Peace River Airport,YPE,CA-AB,medium_airport
Portage-la-Prairie / Southport Airport,YPG,CA-MB,medium_airport
Inukjuak Airport,YPH,CA-QC,medium_airport
Pickle Lake Airport,YPL,CA-ON,medium_airport
Pikangikum Airport,YPM,CA-ON,medium_airport
Port Menier Airport,YPN,CA-QC,medium_airport
Peawanuck Airport,YPO,CA-ON,medium_airport
Peterborough Airport,YPQ,CA-ON,medium_airport
Prince Rupert Airport,YPR,CA-BC,medium_airport
Powell River Airport,YPW,CA-BC,medium_airport
Puvirnituq Airport,YPX,CA-QC,medium_airport
Fort Chipewyan Airport,YPY,CA-AB,medium_airport
Burns Lake Airport,YPZ,CA-BC,small_airport
Muskoka Airport,YQA,CA-ON,medium_airport
Quebec Jean Lesage International Airport,YQB,CA-QC,medium_airport
The Pas Airport,YQD,CA-MB,medium_airport
Red Deer Regional Airport,YQF,CA-AB,medium_airport
Windsor Airport,YQG,CA-ON,medium_airport
Watson Lake Airport,YQH,CA-YT,medium_airport
Yarmouth Airport,YQI,CA-NS,medium_airport
Kenora Airport,YQK,CA-ON,medium_airport
Lethbridge County Airport,YQL,CA-AB,medium_airport
Greater Moncton Rom̩o LeBlanc International Airport,YQM,CA-NB,medium_airport
Nakina Airport,YQN,CA-ON,medium_airport
Comox Airport,YQQ,CA-BC,medium_airport
Regina International Airport,YQR,CA-SK,medium_airport
St Thomas Municipal Airport,YQS,CA-ON,medium_airport
Thunder Bay Airport,YQT,CA-ON,medium_airport
Grande Prairie Airport,YQU,CA-AB,medium_airport
Yorkton Municipal Airport,YQV,CA-SK,medium_airport
North Battleford Airport,YQW,CA-SK,medium_airport
Gander International Airport,YQX,CA-NL,medium_airport
Sydney / J.A. Douglas McCurdy Airport,YQY,CA-NS,medium_airport
Quesnel Airport,YQZ,CA-BC,medium_airport
Rae Lakes Airport,YRA,CA-NT,medium_airport
Resolute Bay Airport,YRB,CA-NU,medium_airport
Rivi̬re-du-Loup Airport,YRI,CA-QC,medium_airport
Roberval Airport,YRJ,CA-QC,medium_airport
Red Lake Airport,YRL,CA-ON,medium_airport
Rocky Mountain House Airport,YRM,CA-AB,small_airport
Ottawa / Rockcliffe Airport,YRO,CA-ON,medium_airport
Trois-Rivi̬res Airport,YRQ,CA-QC,medium_airport
Red Sucker Lake Airport,YRS,CA-MB,medium_airport
Rankin Inlet Airport,YRT,CA-NU,medium_airport
Revelstoke Airport,YRV,CA-BC,medium_airport
Sudbury Airport,YSB,CA-ON,medium_airport
Sherbrooke Airport,YSC,CA-QC,medium_airport
Suffield Heliport,YSD,CA-AB,heliport
Squamish Airport,YSE,CA-BC,small_airport
Stony Rapids Airport,YSF,CA-SK,medium_airport
Smiths Falls-Montague (Russ Beach) Airport,YSH,CA-ON,medium_airport
Saint John Airport,YSJ,CA-NB,medium_airport
Sanikiluaq Airport,YSK,CA-NU,medium_airport
St Leonard Airport,YSL,CA-NB,medium_airport
Fort Smith Airport,YSM,CA-NT,medium_airport
Niagara District Airport,YCM,CA-ON,medium_airport
Marathon Airport,YSP,CA-ON,medium_airport
St. Theresa Point Airport,YST,CA-MB,medium_airport
Summerside Airport,YSU,CA-PE,medium_airport
Sachs Harbour (David Nasogaluak Jr. Saaryuaq) Airport,YSY,CA-NT,medium_airport
Pembroke Airport,YTA,CA-ON,medium_airport
Cape Dorset Airport,YTE,CA-NU,medium_airport
Alma Airport,YTF,CA-QC,medium_airport
Thompson Airport,YTH,CA-MB,medium_airport
Big Trout Lake Airport,YTL,CA-ON,medium_airport
Tasiujaq Airport,YTQ,CA-QC,medium_airport
CFB Trenton,YTR,CA-ON,medium_airport
Timmins/Victor M. Power,YTS,CA-ON,medium_airport
Billy Bishop Toronto City Centre Airport,YTZ,CA-ON,medium_airport
Tuktoyaktuk Airport,YUB,CA-NT,medium_airport
Montreal / Pierre Elliott Trudeau International Airport,YUL,CA-QC,large_airport
Naujaat Airport,YUT,CA-NU,medium_airport
Hall Beach Airport,YUX,CA-NU,medium_airport
Rouyn Noranda Airport,YUY,CA-QC,medium_airport
Bonaventure Airport,YVB,CA-QC,medium_airport
La Ronge Airport,YVC,CA-SK,medium_airport
